Open time,Close,Volume,Return,Risk,RSI,ADX,MOM,HL,HO,LO,buy_pressure_ratio,trades_per_volume,slope,MA_14,F_G_Extreme Fear,F_G_Extreme Greed,F_G_Fear,F_G_Greed,F_G_Neutral,MA_7
2022-01-01,3765.54,154143.8968,0.02400350671726048,0.02603326511570919,42.40102610900012,32.25391361278259,-194.38999999999987,102.98999999999978,100.23000000000002,-2.7599999999997635,0.49912348256091954,0.0007110718064276985,-26.058065934065997,3913.5642857142857,True,False,False,False,False,3810.6814285714286
2022-01-02,3828.27,154791.4263,0.016521726756629256,0.026513150017939986,44.95581234985078,32.14945938718759,-95.86999999999989,140.13999999999987,91.90000000000009,-48.23999999999978,0.5245468732268118,0.0007697801111052764,-28.146395604395725,3906.7164285714284,False,False,True,False,False,3777.0685714285714
2022-01-03,3765.89,236245.8586,-0.016428782919867397,0.026704610059860016,42.91723890859007,32.21332521780439,-178.84000000000015,173.09000000000015,24.980000000000018,-148.11000000000013,0.4850073292196155,0.0006658210702133534,-30.916813186813407,3893.9421428571427,False,False,True,False,False,3738.305714285714
2022-01-04,3785.11,288258.5549,0.005090727455432364,0.02616451906561401,43.76339848889982,31.865518450357037,-229.03999999999996,187.6199999999999,134.84000000000015,-52.779999999999745,0.5117165375834347,0.0006161552688200689,-30.06340659340675,3877.5821428571426,True,False,False,False,False,3737.214285714286
2022-01-05,3540.63,397942.0363,-0.06677027114101414,0.03107548978805617,36.37677256487248,32.705154108891534,-438.8800000000001,433.0,62.90000000000009,-370.0999999999999,0.4619431997262783,0.0006571937094986815,-36.33035164835181,3846.233571428572,True,False,False,False,False,3724.4199999999996
2022-01-06,3406.81,496745.7413,-0.03852830782695031,0.029646849826063616,33.085008579934154,33.82769407766711,-704.5999999999999,250.42999999999984,10.609999999999673,-239.82000000000016,0.5044591678215025,0.0005923721836661734,-40.143230769230975,3795.9049999999997,True,False,False,False,False,3681.211428571429
2022-01-07,3199.24,669631.7262,-0.06286308798825013,0.03247062786444383,28.740617941323208,35.45264312932774,-847.1200000000003,352.34000000000015,9.950000000000273,-342.3899999999999,0.49204566911806513,0.0006083055662407078,-48.93404395604421,3735.3964285714283,True,False,False,False,False,3613.0699999999997
2022-01-08,3080.95,400692.1061,-0.03767529061248328,0.03179814865956994,26.59722372794573,37.09953352465798,-1013.8800000000001,250.0,51.320000000000164,-198.67999999999984,0.4812149928194112,0.0006502260096001147,-55.783054945055014,3662.976428571429,True,False,False,False,False,3515.2714285714287
2022-01-09,3151.97,275874.1643,0.02278966319823475,0.033714504729646606,29.97385390491509,38.62878889175034,-911.5900000000001,154.3699999999999,130.73999999999978,-23.63000000000011,0.5110820093000309,0.0006842327932920517,-57.17718681318708,3597.8628571428567,True,False,False,False,False,3418.657142857143
2022-01-10,3082.68,529818.3866,-0.02222830567176738,0.033558320169274146,28.59191503489646,40.32544428709188,-954.5500000000002,256.1700000000001,33.0300000000002,-223.13999999999987,0.49043171278523257,0.0005784891883294205,-57.41206593406614,3529.680714285714,True,False,False,False,False,3321.055714285714
2022-01-11,3239.72,362446.7087,0.049687557804675944,0.03576677005514759,35.81472309584785,41.229633191937225,-553.0300000000002,211.73999999999978,180.67000000000007,-31.06999999999971,0.5086101027552992,0.0005838107009235563,-57.02404395604403,3490.1785714285716,True,False,False,False,False,3243.1428571428573
